FID,CRN,course_num,campus,credits,course_name,course_type,building,room_num,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,start,end,Time,size,max_size,instructor,OBJECTID,BIN,FCODE,ADDRESS,BASE_ELEVA,APPROX_HGT,MAX_HGT,PARCEL_ID_,PARCEL_I_1,Shape__Are,Shape__Len,landuse,Shape_Leng,Shape_Area
2740,4593,"POLS 2341, 001",Main,3,U.S. Foreign Policy,Class,Weiss Hall,0B035,Monday,No,No,No,Friday,No,No,01:00�PM,01:50�PM,Afternoon,39,60,Lauren A. Farmer (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
6377,29507,"CJ 2597, 002",Main,3,Criminal Justice Research Methods,Class,Weiss Hall,517,Monday,No,No,No,Friday,No,No,01:00�PM,01:50�PM,Afternoon,20,20,Ryan T. Sentner (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3223,43400,"NSCI 1002, 001",Main,1,Careers in Neuroscience,Class,Weiss Hall,0B037,Monday,No,No,No,No,No,No,01:00�PM,01:50�PM,Afternoon,30,40,Mansi Shah (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7550,21657,"PSY 1003, 007",Main,3,Statistics for Psychology,Laboratory,Weiss Hall,640,Monday,No,No,No,No,No,No,01:00�PM,01:50�PM,Afternoon,25,25,Melissa Auerbach (Primary) Joy Ham,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
95,37841,"PSY 3096, 007",Main,3,Conducting Psychological Research,Class,Weiss Hall,400,Monday,No,No,No,No,No,No,01:00�PM,01:50�PM,Afternoon,19,20,Catherine Blasi (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7544,31226,"PSY 1003, 001",Main,3,Statistics for Psychology,Lecture,Weiss Hall,0B032,Monday,No,No,No,No,No,No,01:00�PM,01:50�PM,Afternoon,25,25,Isabelle Chang (Primary) Jay Bradford,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7545,27717,"PSY 1003, 002",Main,3,Statistics for Psychology,Lecture,Weiss Hall,0B032,Monday,No,No,No,No,No,No,01:00�PM,01:50�PM,Afternoon,25,25,Isabelle Chang (Primary) Jay Bradford,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3239,29556,"NSCI 4197, 003",Main,4,Capstone in Neuroscience,Class,Weiss Hall,642,No,Tuesday,Wednesday,Thursday,No,No,No,01:30�PM,03:10�PM,Afternoon,20,20,Timothy Garelick (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
100,21640,"PSY 3096, 706",Main,3,Conducting Psychological Research,Class,Weiss Hall,400,No,No,No,No,Friday,No,No,02:00�PM,02:50�PM,Afternoon,20,20,Melissa Auerbach (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3228,3208,"NSCI 2121, 001",Main,3,Development/Plasticity/Repair,Class,Weiss Hall,0B035,Monday,No,No,No,Friday,No,No,02:00�PM,02:50�PM,Afternoon,35,49,Timothy Garelick (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4721,9930,"PSY 4696, 006",Main,3,Capstone in Psychology: Elite Athletes and Developmental Difficulties,Class,Weiss Hall,517,Monday,No,No,No,Friday,No,No,02:00�PM,02:50�PM,Afternoon,19,20,Lalain Williams (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4962,50670,"PSY 8430, 001",Main,3,Topical Seminars in Clinical Psychology IV,Class,Weiss Hall,711,No,No,No,Thursday,No,No,No,02:00�PM,04:30�PM,Afternoon,4,20,Eunice Y. Chen (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4963,6845,"PSY 8433, 001",Main,3,Clinical Psychology: Scientific and Professional Dimensions,Class,Weiss Hall,416,No,No,No,Thursday,No,No,No,02:00�PM,04:30�PM,Afternoon,7,13,Robert L. Fauber (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
